Shop/Vendor,Link,Location
Moonbase Toys,https://www.instagram.com/moonbasetoys/,Brisbane
This Is Not A Toy Store,https://www.thisisnotatoystore.com/,Melbourne
Anime City,https://animecity.ca/,"Toronto, ON"
Mindzai,https://www.mindzai.ca/,"Markham, ON"
Artoyz,https://artoyz.com/,Europe
HypaHypa,https://hypahypa.eu/,Europe
Ko-Re Ko-Re,https://www.ko-reko-re.com/,Europe
Marusan London,https://marusanlondon.com/,Europe
Mintyfresh,https://www.mintyfresh.eu/,Europe
Amaz by Lokianno,https://amazhk.com/,Hong Kong
Angel Abby,https://angelabby.hk/,Hong Kong
Stonevibe,https://www.stonevibehk.com/,Hong Kong
Toy Undergound Store,https://toyunderground.com/store/,Hong Kong
Vintage & Vinyl Club,https://vvchk.com/,Hong Kong
27 GALLERY TOKYO,https://27-gallery-tokyo.square.site/,"Tokyo, Chūō"
70's セブンティーズ,https://www.70s-toy.com/,Hiroshima
Astro Zombies,https://astro-z.com/,Osaka
Cosmo Knight Alpha,https://www.instagram.com/yodamasahico/,"Tokyo, Nerima"
Black Pearls,https://www.blackpearlsjp.com/,"Tokyo, Shibuya"
Emzemz,https://emzemz.thebase.in/,"Tokyo, Chūō"
EROSTIKA,https://erostika.net/en,"Tokyo, Shibuya"
FEWMANY,http://www.fewmany.com/products.html,"Tokyo, Shinjuku"
FREEGIA CHOICE,https://www.instagram.com/freegia_choice/,"Tokyo, Shibuya"
Godzilla-ya,https://maps.app.goo.gl/1HzwL6oYwMbnREAy7,"Tokyo, Suginami City"
Golden Age,http://yamanaya.sakura.ne.jp/,"Tokyo, Chiyoda"
Hakaba Gallery,https://hakabanogarou.jp/,"Tokyo, Nakano"
Hakaba Gallery Lotteries/Announcements,https://www.instagram.com/dokuro_uc/,
Hard Off,https://netmall.hardoff.co.jp/search/?p=1&q=%E3%82%BD%E3%83%95%E3%83%93&exso=1&s=1,All over Japan. Uncertain which specific locations carry sofubi.
Hashimoto-Gangu,https://www.hashimoto-gangu.com/,Niigata
Have a Good Time,https://have-a-goodtime.com/,"Tokyo, Shirogane"
Hero Gangu,https://herogangu.com/shopinfo,Osaka
Ichiban Boshi,https://1ban-boshi.com/,"Tokyo, Suginami City"
Kaikodo,https://www.kaikodo.net/index.html,"Okegawa, Saitama"
Kenele Store / Vinyl Tokyo,https://kenelephant.co.jp/vinyl/,"Tokyo, Chiyoda"
KenElebunshitsu (ケンエレブンシツ),https://kenelephant.co.jp/kenelebunshitsu/,"Tokyo, Chiyoda"
MAD BOXXX,https://madboxxx.shopselect.net/,Nagoya
Mandarake,https://www.mandarake.co.jp/,"All over Japan: Tokyo (multiple locations), Sapporo, Osaka, to name a few"
まんが宿 (Manga Inn),https://g.co/kgs/1HpyK8h,"Tokyo, Edogawa City"
MEDICOM Tokyo Skytree,https://mct.tokyo/en/collections/solamachi,"Tokyo, Sumida City"
MEDICOM Toy Plus Harajuku,https://mct.tokyo/en/collections/medicom-toy-plus,"Tokyo, Shibuya"
One-Up,http://one-up.shop-pro.jp/,"Tokyo, Chiyoda & Nakano"
P-GARAGE,https://maru-p-garage.jp/,Fukuoka & Saitama
PopSoda,https://cooltoys.shop-pro.jp/,Osaka
